AGE,GENDER,MARITAL_STATUS,GROSS_ANNUAL_INCOME,EDUCATION,OCCUPATION,CASH,EQUITY,INSURANCE,FIXED_DEPOSIT,GOLD,MUTUAL_FUNDS,BEH,RP1,RP2,RP3,RA1,RA2,RA3,FQPB,PBC1,PBC2,PBC3,PBC4,GOAL,BI1,BI2
3,1,2,5,4,2,6,4,3,1,2,5,5,6,6,6,5,3,5,1,4,6,2,6,175,3,3
3,2,2,5,4,2,5,1,4,3,5,2,2,5,4,5,4,6,4,6,7,7,7,6,51,7,7
4,2,2,6,4,2,6,6,4,3,6,1,1,2,3,2,6,1,2,7,7,7,7,7,713,7,7
3,2,2,6,4,2,6,1,4,4,2,1,1,2,2,3,3,2,4,6,7,5,5,5,1,6,4
4,2,2,5,4,2,6,1,3,6,3,2,2,5,2,6,2,3,2,7,6,6,6,6,541,6,6
4,2,2,5,3,2,5,1,2,1,5,5,5,6,6,6,6,3,2,6,5,7,7,7,1,7,7
3,2,2,6,4,2,3,3,3,3,2,1,1,2,2,2,6,3,6,7,6,6,6,6,137,7,6
3,2,2,6,4,2,5,5,4,3,2,4,4,4,4,5,6,6,5,5,4,4,6,5,126,5,5
3,2,2,6,4,2,4,1,2,3,3,2,2,6,3,2,2,5,2,6,6,7,7,7,251,7,7
3,2,2,5,3,2,2,3,6,2,3,2,2,5,3,3,5,5,5,5,5,6,5,6,67,6,5
3,2,2,6,4,2,2,1,3,2,4,4,4,4,6,6,2,2,2,1,6,2,7,2,123,2,2
3,2,2,6,4,2,3,3,3,1,6,2,2,5,4,4,3,2,5,6,6,7,5,6,18,7,7
3,2,2,6,4,2,3,1,4,4,4,6,6,5,3,5,6,2,6,1,7,7,7,7,1,5,5
3,2,2,6,4,2,3,2,1,2,2,3,3,5,5,4,4,2,3,2,6,6,6,5,681,6,6
4,2,2,6,4,2,3,6,2,3,2,2,2,4,5,2,6,7,6,6,7,3,3,7,158,6,6
3,2,2,5,4,2,5,2,4,5,4,1,1,4,2,5,2,6,2,6,4,5,6,6,42,6,6
4,2,2,5,4,2,6,3,3,5,3,2,2,6,4,3,3,2,2,6,5,6,6,5,514,7,6
4,1,2,6,4,2,4,1,2,6,5,3,3,6,5,5,6,2,5,7,6,6,6,6,175,6,6
4,2,2,6,4,2,5,5,5,1,2,4,4,2,1,2,6,7,6,2,6,7,7,7,81,2,2
3,2,2,2,4,3,5,3,2,1,6,4,4,3,4,5,4,5,2,3,5,6,7,7,174,5,5
4,2,2,5,4,7,6,6,3,1,3,6,6,2,3,6,7,6,6,1,7,7,5,4,754,7,6
3,2,2,5,4,2,3,5,2,1,5,2,2,3,3,2,5,4,3,7,5,6,6,5,125,7,6
