AGE,GENDER,MARITAL_STATUS,GROSS_ANNUAL_INCOME,EDUCATION,OCCUPATION,CASH,EQUITY,INSURANCE,FIXED_DEPOSIT,GOLD,MUTUAL_FUNDS,BEH,RP1,RP2,RP3,RA1,RA2,RA3,FQPB,PBC1,PBC2,PBC3,PBC4,GOAL,BI1,BI2,RA_total,RP_total,PBC_total,BI_total,GOAL_scaled,RA_total_scaled,RP_total_scaled,PBC_total_scaled,BI_total_scaled,FQPB_scaled,GENDER_encoded,EDUCATION_encoded,OCCUPATION_encoded,MARITAL_STATUS_encoded
4,2,2,6,4,2,6,3,4,3,4,4,4,2,2,2,2,5,2,4,6,6,6,6,417,7,6,9,6,24,13,0.15297750609511365,-0.8493940667567087,-0.6932096483522239,0.26582338907278696,0.7375603503663616,-0.5056380693935977,1,3,1,1
3,2,2,6,4,2,5,2,6,4,1,3,3,5,1,5,2,6,2,6,6,7,7,6,821,6,6,10,11,26,12,1.608499580122515,-0.630178880522366,0.3540320704084571,0.7050550046110241,0.3939612003608871,0.5611195533170845,1,3,1,1
3,2,2,6,4,2,3,2,4,3,2,1,1,1,3,1,3,3,1,7,4,5,6,6,215,7,7,7,5,21,14,-0.574783530918587,-1.2878244392253941,-0.90265799210436,-0.39302403423456883,1.0811595003718362,1.0944983646724256,1,3,1,1
3,1,2,6,4,2,2,6,3,1,2,6,6,5,5,5,6,6,6,1,5,5,5,5,752,5,5,18,15,20,10,1.35990793876635,1.123542609352376,1.1918254454170019,-0.6126398420036874,-0.29323709965006184,-2.105774503459621,0,3,1,1
4,2,2,2,4,2,3,1,6,2,6,1,1,4,4,5,5,5,5,7,4,4,4,5,147,6,6,15,13,17,12,-0.8197723948637932,0.46589705064934767,0.7729287579127294,-1.2714872653110432,0.3939612003608871,1.0944983646724256,1,3,1,1
4,2,2,6,4,2,5,1,6,4,3,2,2,2,4,2,2,2,2,7,5,6,6,7,572,5,5,6,8,24,10,0.7114080047937453,-1.507039625459737,-0.2743129608479515,0.26582338907278696,-0.29323709965006184,1.0944983646724256,1,3,1,1
4,1,2,6,4,3,6,3,3,4,2,2,2,2,2,2,3,2,2,7,6,7,7,6,315,7,7,7,6,26,14,-0.2145057898226956,-1.2878244392253941,-0.6932096483522239,0.7050550046110241,1.0811595003718362,1.0944983646724256,0,3,2,1
4,2,2,5,4,2,3,2,2,3,3,1,1,3,3,3,5,5,3,6,5,6,6,6,174,7,6,13,9,23,13,-0.7224974047679026,0.0274666781806622,-0.0648646170958153,0.04620758130366836,0.7375603503663616,0.5611195533170845,1,3,1,1
5,2,2,6,4,2,4,2,4,1,2,3,3,4,5,5,2,6,2,4,5,5,5,6,1,6,6,10,14,21,12,-1.3457778968637948,-0.630178880522366,0.9823771016648657,-0.39302403423456883,0.3939612003608871,-0.5056380693935977,1,3,1,1
3,2,2,5,4,2,6,1,6,1,6,6,6,5,5,4,5,7,5,1,6,5,6,5,173,5,4,17,14,22,9,-0.7261001821788614,0.9043274231180332,0.9823771016648657,-0.17340822646545023,-0.6368362496555363,-2.105774503459621,1,3,1,1
3,2,2,3,4,2,2,1,2,2,2,6,6,2,3,6,4,5,3,2,6,2,6,5,371,2,3,12,11,19,5,-0.012750254808996414,-0.19174850805368054,0.3540320704084571,-0.832255649772806,-2.0112328496774343,-1.5723956921042799,1,3,1,1
4,2,2,5,4,2,6,4,3,4,1,4,4,3,5,3,6,7,7,5,2,5,4,2,215,6,5,20,11,13,11,-0.574783530918587,1.5619729818210613,0.3540320704084571,-2.1499504963875173,0.050362050355412635,0.02774074196174343,1,3,1,1
3,2,2,4,4,2,6,3,3,3,6,3,3,3,4,5,5,5,5,4,5,5,4,5,713,4,4,15,12,19,8,1.2193996197389523,0.46589705064934767,0.5634804141605932,-0.832255649772806,-0.9804353996610108,-0.5056380693935977,1,3,1,1
4,2,2,6,4,2,5,2,2,3,2,5,5,3,4,5,5,3,5,1,5,7,7,4,1,5,5,13,12,23,10,-1.3457778968637948,0.0274666781806622,0.5634804141605932,0.04620758130366836,-0.29323709965006184,-2.105774503459621,1,3,1,1
4,2,2,2,3,2,3,3,3,2,3,2,2,2,1,1,7,7,7,5,4,3,3,3,471,2,2,21,4,13,4,0.347527486286895,1.781188168055404,-1.1121063358564962,-2.1499504963875173,-2.354831999682909,0.02774074196174343,1,2,1,1
3,2,2,6,4,2,1,2,5,6,6,4,4,7,6,7,2,3,7,1,3,6,7,7,642,1,1,12,20,23,2,0.9636024235608693,-0.19174850805368054,2.239067164177683,0.04620758130366836,-3.0420302996938577,-2.105774503459621,1,3,1,1
4,2,2,5,4,3,4,5,4,1,5,4,4,3,4,4,5,6,5,6,4,6,6,6,417,6,5,16,11,22,11,0.15297750609511365,0.6851122368836904,0.3540320704084571,-0.17340822646545023,0.050362050355412635,0.5611195533170845,1,3,2,1
3,2,2,6,4,2,4,4,5,3,2,1,1,2,2,2,6,7,5,7,7,7,7,6,143,7,6,18,6,27,13,-0.8341835045076289,1.123542609352376,-0.6932096483522239,0.9246708123801427,0.7375603503663616,1.0944983646724256,1,3,1,1
4,2,2,6,4,2,2,2,1,1,1,2,2,6,6,6,6,6,6,3,5,6,5,5,714,6,6,18,18,21,12,1.223002397149911,1.123542609352376,1.8201704766734104,-0.39302403423456883,0.3939612003608871,-1.0390168807489388,1,3,1,1
